City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,saint-philippe,-21.3585,55.7679,26.772222222222222,92,72,5.7,RE,1707771472
508,tolanaro,-25.0319,46.9987,26.03888888888889,89,75,10.36,MG,1707771472
509,baie-saint-paul,47.4411,-70.4986,2.9888888888888903,81,98,4.68,CA,1707771473
510,bonadelle ranchos-madera ranchos,36.9847,-119.8746,17.672222222222224,46,73,1.59,US,1707771473
511,cockburn town,21.4612,-71.1419,25.222222222222225,73,0,18.92,TC,1707771473
512,sadovoye,47.7764,44.5089,2.511111111111113,100,100,6.87,RU,1707771473
513,hilo,19.7297,-155.09,26.811111111111114,67,0,5.75,US,1707771473
514,primero de mayo,-32.2552,-58.4228,22.12222222222222,88,100,13.71,AR,1707771473
515,nicoya,10.1483,-85.452,34.672222222222224,42,70,7.4,CR,1707771473
516,kayangel,8.0823,134.7173,26.97222222222222,81,100,25.43,PW,1707771473
517,papao,-17.75,-149.55,27.822222222222223,92,100,26.89,PF,1707771473
518,tokar,18.4254,37.729,22.272222222222226,71,0,4.45,SD,1707771473
519,rawson,-43.3002,-65.1023,15.899999999999999,41,33,14.81,AR,1707771474
520,onguday,50.75,86.15,-25.750000000000004,96,52,2.68,RU,1707771474
521,novyy urengoy,66.0833,76.6333,-35.6,94,16,5.93,RU,1707771474
522,kelme,55.6339,22.9342,1.0111111111111113,99,100,6.89,LT,1707771474
523,kingscliff,-28.2667,153.5667,24.850000000000005,83,75,6.91,AU,1707771474
524,adrar,20.5022,-10.0711,24.68888888888889,25,0,7.47,MR,1707771474
525,arcachon,44.5875,-1.0519,8.177777777777777,93,75,5.75,FR,1707771474
526,san pedro,14.35,121.0167,24.55,74,20,10.0,PH,1707771274
527,sosnogorsk,63.6023,53.8817,-20.811111111111114,100,100,1.99,RU,1707771474
528,viedma,-40.8135,-62.9967,19.038888888888888,35,4,16.62,AR,1707771474
529,kwadukuza,-29.3282,31.2895,23.938888888888894,93,0,4.43,ZA,1707771259
530,pinki,56.9419,23.9108,1.0999999999999983,93,100,8.05,LV,1707771475
531,gracias,14.5833,-88.5833,35.81111111111111,28,7,3.15,HN,1707771475
532,hobyo,5.3505,48.5268,26.2,81,61,14.05,SO,1707771475
533,petropavlovka,50.6114,105.3196,-16.072222222222223,83,100,5.01,RU,1707771475
534,mossel bay,-34.1831,22.146,22.961111111111112,73,1,13.31,ZA,1707771475
535,as sulayyil,20.4607,45.5779,18.138888888888893,29,2,10.31,SA,1707771475
536,geraldton,-28.7667,114.6,18.22777777777778,88,0,8.05,AU,1707771466
537,labytnangi,66.6572,66.4183,-34.55,92,9,2.98,RU,1707771475
538,scicli,36.7902,14.7014,10.750000000000002,81,38,10.85,IT,1707771475
539,swift current,50.2834,-107.8014,-0.5499999999999992,93,75,11.5,CA,1707771475
540,mandera,3.9366,41.867,30.21111111111111,26,10,9.86,KE,1707771475
541,nyurba,63.2842,118.3319,-25.8,97,100,4.88,RU,1707771476
